Year, Annual Anomaly, Annual Unc., Five-year Anomaly, Five-year Unc., Annual Anomaly, Annual Unc., Five-year Anomaly," Five-year Unc.
"
1926,-0.085,0.070,-0.196,0.049,-0.065,0.071,-0.182,0.050
1927,-0.197,0.066,-0.213,0.049,-0.183,0.067,-0.195,0.050
1928,-0.176,0.069,-0.194,0.048,-0.169,0.070,-0.178,0.049
1929,-0.367,0.067,-0.194,0.047,-0.336,0.068,-0.183,0.048
1930,-0.143,0.066,-0.179,0.046,-0.139,0.068,-0.169,0.047
1931,-0.089,0.066,-0.205,0.046,-0.086,0.068,-0.193,0.047
1932,-0.119,0.062,-0.165,0.045,-0.117,0.063,-0.157,0.046
1933,-0.309,0.069,-0.179,0.045,-0.287,0.069,-0.166,0.046
1934,-0.166,0.063,-0.192,0.044,-0.155,0.065,-0.177,0.044
1935,-0.210,0.065,-0.166,0.044,-0.186,0.066,-0.154,0.044
1936,-0.157,0.062,-0.101,0.042,-0.139,0.063,-0.098,0.043
1937,0.011,0.063,-0.070,0.042,-0.004,0.064,-0.066,0.043
1938,0.015,0.065,-0.012,0.043,-0.007,0.067,-0.016,0.044
1939,-0.012,0.071,0.031,0.044,0.004,0.074,0.028,0.046
1940,0.084,0.074,0.032,0.048,0.066,0.077,0.034,0.050
1941,0.057,0.075,0.040,0.054,0.079,0.078,0.043,0.056
1942,0.015,0.084,0.071,0.059,0.026,0.089,0.071,0.062
1943,0.057,0.086,0.056,0.062,0.042,0.091,0.062,0.066
1944,0.142,0.086,0.031,0.059,0.141,0.090,0.037,0.062
1945,0.008,0.084,0.035,0.054,0.023,0.088,0.033,0.057
1946,-0.066,0.083,0.009,0.053,-0.045,0.087,0.015,0.056
1947,0.036,0.084,-0.040,0.054,0.005,0.089,-0.030,0.058
1948,-0.074,0.088,-0.077,0.058,-0.048,0.093,-0.068,0.062
1949,-0.104,0.072,-0.064,0.056,-0.084,0.075,-0.058,0.060
1950,-0.178,0.067,-0.058,0.053,-0.168,0.071,-0.047,0.056
1951,0.000,0.065,-0.017,0.049,0.007,0.068,-0.014,0.052
1952,0.065,0.067,-0.009,0.048,0.058,0.070,-0.011,0.051
1953,0.132,0.067,0.003,0.047,0.117,0.070,-0.002,0.049
1954,-0.065,0.066,-0.034,0.044,-0.070,0.069,-0.042,0.047
1955,-0.116,0.062,-0.034,0.043,-0.123,0.066,-0.040,0.045
1956,-0.185,0.056,-0.048,0.041,-0.194,0.059,-0.047,0.043
1957,0.062,0.066,-0.028,0.040,0.069,0.066,-0.026,0.042
1958,0.062,0.054,-0.007,0.038,0.081,0.058,-0.002,0.039
1959,0.035,0.052,0.044,0.036,0.039,0.055,0.053,0.038
1960,-0.009,0.052,0.037,0.035,-0.006,0.055,0.043,0.037
1961,0.073,0.049,0.037,0.035,0.082,0.052,0.042,0.037
1962,0.024,0.052,-0.010,0.034,0.022,0.054,-0.002,0.036
1963,0.064,0.052,-0.029,0.034,0.074,0.055,-0.021,0.036
1964,-0.203,0.049,-0.049,0.034,-0.181,0.052,-0.044,0.036
1965,-0.102,0.049,-0.053,0.033,-0.104,0.053,-0.049,0.035
1966,-0.031,0.051,-0.076,0.032,-0.032,0.054,-0.072,0.034
1967,0.009,0.048,-0.018,0.031,-0.002,0.051,-0.018,0.033
1968,-0.053,0.047,0.007,0.029,-0.040,0.050,0.010,0.031
1969,0.087,0.046,-0.006,0.029,0.088,0.049,-0.003,0.030
1970,0.022,0.045,-0.010,0.028,0.037,0.048,-0.003,0.030
1971,-0.097,0.047,0.021,0.027,-0.096,0.050,0.026,0.029
1972,-0.009,0.045,-0.019,0.026,-0.005,0.048,-0.018,0.028
1973,0.102,0.042,-0.035,0.025,0.107,0.045,-0.037,0.027
1974,-0.114,0.043,-0.048,0.025,-0.132,0.045,-0.051,0.027
1975,-0.056,0.046,-0.018,0.025,-0.060,0.048,-0.026,0.026
1976,-0.163,0.046,-0.037,0.024,-0.164,0.048,-0.047,0.026
1977,0.138,0.042,0.006,0.023,0.117,0.044,0.002,0.024
1978,0.009,0.042,0.060,0.022,0.004,0.044,0.053,0.023
1979,0.100,0.030,0.146,0.020,0.112,0.031,0.130,0.022
1980,0.217,0.034,0.128,0.021,0.195,0.035,0.117,0.023
1981,0.268,0.037,0.173,0.022,0.223,0.039,0.161,0.023
1982,0.044,0.039,0.167,0.023,0.048,0.042,0.148,0.024
1983,0.236,0.039,0.134,0.023,0.226,0.041,0.117,0.025
1984,0.070,0.036,0.102,0.024,0.047,0.038,0.090,0.025
1985,0.053,0.031,0.142,0.023,0.042,0.033,0.126,0.025
1986,0.108,0.033,0.152,0.024,0.086,0.034,0.132,0.025
1987,0.242,0.033,0.172,0.025,0.227,0.035,0.152,0.026
1988,0.288,0.034,0.234,0.026,0.258,0.036,0.210,0.028
1989,0.167,0.037,0.280,0.028,0.145,0.039,0.253,0.029
1990,0.362,0.038,0.263,0.030,0.334,0.040,0.239,0.031
1991,0.341,0.041,0.243,0.032,0.301,0.043,0.221,0.033
1992,0.159,0.043,0.259,0.033,0.156,0.045,0.239,0.035
1993,0.189,0.044,0.266,0.035,0.167,0.047,0.241,0.037
1994,0.245,0.044,0.256,0.036,0.238,0.047,0.226,0.038
1995,0.394,0.044,0.312,0.036,0.343,0.047,0.277,0.038
1996,0.294,0.043,0.391,0.037,0.225,0.045,0.349,0.039
1997,0.438,0.042,0.413,0.038,0.412,0.045,0.362,0.040
1998,0.586,0.046,0.407,0.039,0.529,0.049,0.356,0.041
1999,0.352,0.047,0.449,0.039,0.303,0.050,0.405,0.042
2000,0.365,0.047,0.478,0.041,0.313,0.050,0.428,0.043
2001,0.503,0.047,0.475,0.041,0.468,0.050,0.428,0.044
2002,0.583,0.046,0.499,0.041,0.528,0.049,0.459,0.044
2003,0.571,0.047,0.557,0.041,0.526,0.049,0.512,0.044
2004,0.473,0.045,0.577,0.041,0.458,0.047,0.520,0.044
2005,0.654,0.046,0.582,0.041,0.579,0.048,0.520,0.043
2006,0.602,0.045,0.562,0.041,0.510,0.048,0.499,0.043
2007,0.609,0.043,0.587,0.041,0.526,0.045,0.512,0.043
2008,0.470,0.043,0.592,0.040,0.420,0.045,0.515,0.042
2009,0.598,0.043,0.583,0.040,0.525,0.046,0.507,0.042
2010,0.679,0.044,0.577,0.040,0.594,0.046,0.501,0.042
2011,0.559,0.043,0.602,0.040,0.467,0.045,0.527,0.042
2012,0.578,0.042,0.615,0.040,0.498,0.044,0.543,0.042
2013,0.596,0.045,0.640,0.040,0.549,0.047,0.574,0.042
2014,0.663,0.045,0.717,0.040,0.607,0.047,0.647,0.042
2015,0.802,0.043,NaN,NaN,0.751,0.045,NaN,NaN
2016,0.945,0.044,NaN,NaN,0.829,0.046,NaN,NaN
